;;;;;;;;;;;;;x
biyanic;Biyanic;;;;;;;;;;;;;x
iroquois;Iroquois;;;;;;;;;;;;;x
irochesi;Meridionale;;;;;;;;;;;;;x
afro_slavic;Afro Slavic;;;;;;;;;;;;;x
jadwigan;Jadwigan;;;;;;;;;;;;;x
jugmoravian;Jugmoravian;;;;;;;;;;;;;x
akadyjski;Akadyjski;;;;;;;;;;;;;x
criemisc;Criemisc;;;;;;;;;;;;;x
panamaisch;Panamaisch;;;;;;;;;;;;;x
dutch;Niederlandisch;;;;;;;;;;;;;x
siqiliya;Siqliyan;;;;;;;;;;;;;x
sicilian;Siciliano;;;;;;;;;;;;;x
karibik;Karibeno;;;;;;;;;;;;;x
cubanische;Cubanisch;;;;;;;;;;;;;x
griko;Greek Calabrian;;;;;;;;;;;;;x
araukaner;Araucanian;;;;;;;;;;;;;x
lotharian;Lotharian-Burgundian;;;;;;;;;;;;;x
