;;;;;;;;;;;;;x
biyanic;Biyanic;;;;;;;;;;;;;x
iroquois;Haudenosaunee;;;;;;;;;;;;;x
irochesi;Irochese;;;;;;;;;;;;;x
afro_slavic;Afro Slavic;;;;;;;;;;;;;x
jadwigan;Jadwigan;;;;;;;;;;;;;x
jugmoravian;Jugmoravian;;;;;;;;;;;;;x
akadyjski;Akadyjski;;;;;;;;;;;;;x
criemisc;Criemisc;;;;;;;;;;;;;x
panamaisch;Panamaisch;;;;;;;;;;;;;x
dutch;Niederlandisch;;;;;;;;;;;;;x
siqiliya;Siqliyan;;;;;;;;;;;;;x
sicilian;Siciliano;;;;;;;;;;;;;x
karibik;Karibeno;;;;;;;;;;;;;x
cubanische;Cubanisch;;;;;;;;;;;;;x
griko;Greek Calabrian;;;;;;;;;;;;;x
araukaneer;Araucanian;;;;;;;;;;;;;x
lotharian;Lotharian-Burgundian;;;;;;;;;;;;;x
pomeranian;Pomeranian;;;;;;;;;;;;;x
anglo_saxon;Anglo Saxon;;;;;;;;;;;;;x
flemish;Brabantian;;;;;;;;;;;;;x
gaucho;Gaúcho;;;;;;;;;;;;;x
silesian;Silesian;;;;;;;;;;;;;x
galicja;Polish-Galician;;;;;;;;;;;;;x
pruski;Pruskian;;;;;;;;;;;;;x
keffichojewish;Beta Israeli;;;;;;;;;;;;;x
venezuelano;Venezuelano;;;;;;;;;;;;;x
afro_italic;Afro Italian;;;;;;;;;;;;;x
turkish;Türkmence;;;;;;;;;;;;;x
circassian_arab;Egyptian Circassian;;;;;;;;;;;;;x
turkokurdish;Türk-Kürt;;;;;;;;;;;;;x
morozbekler;Mor Türkçe;;;;;;;;;;;;;x
kumanlari;Kumanlari;;;;;;;;;;;;;x
dakotan;Western American;;;;;;;;;;;;;x
patagonian_scots;Deaspatagonian;;;;;;;;;;;;;x
